tract_id,population,workers,businesses,total_businesses,population_year,employment_business_year,region_code
23080550010202,613,21.0,0.0,6,2023,2023,23080
23080550010203,641,24.0,11.0,18,2023,2023,23080
23080550010204,495,0.0,0.0,2,2023,2023,23080
23080550010205,626,29.0,0.0,15,2023,2023,23080
23080550010301,537,16.0,0.0,4,2023,2023,23080
23080550010302,573,22.0,0.0,14,2023,2023,23080
23080550010303,504,8.0,0.0,2,2023,2023,23080
23080550010304,544,0.0,0.0,2,2023,2023,23080
23080550010305,586,7.0,0.0,7,2023,2023,23080
23080550010501,738,21.0,5.0,19,2023,2023,23080
23080550010502,545,6.0,6.0,11,2023,2023,23080
23080550010601,430,6.0,0.0,9,2023,2023,23080
23080550010701,453,5.0,5.0,10,2023,2023,23080
23080550010702,422,5.0,5.0,9,2023,2023,23080
23080550010703,490,5.0,5.0,11,2023,2023,23080
23080550010704,507,55.0,7.0,31,2023,2023,23080
23080550010705,445,18.0,8.0,20,2023,2023,23080
23080550010801,432,0.0,0.0,9,2023,2023,23080
23080550010802,493,0.0,0.0,10,2023,2023,23080
23080560010001,562,5.0,0.0,5,2023,2023,23080
23080560010002,426,85.0,12.0,31,2023,2023,23080
23080560010003,455,60.0,14.0,28,2023,2023,23080
23080560010004,508,163.0,6.0,18,2023,2023,23080
23080560010005,554,12.0,0.0,9,2023,2023,23080
23080560010006,370,0.0,0.0,8,2023,2023,23080
23080560010007,446,6.0,6.0,15,2023,2023,23080
23080560010008,400,110.0,0.0,9,2023,2023,23080
23080560010009,615,54.0,24.0,27,2023,2023,23080
23080560010010,2297,111.0,70.0,86,2023,2023,23080
23080560010101,699,8.0,8.0,14,2023,2023,23080
23080560010102,531,0.0,0.0,15,2023,2023,23080
23080560010103,606,44.0,14.0,31,2023,2023,23080
23080560010201,343,0.0,0.0,8,2023,2023,23080
23080580010001,419,391.0,193.0,200,2023,2023,23080
23080580010002,532,0.0,0.0,14,2023,2023,23080
23080580010003,497,29.0,8.0,21,2023,2023,23080
23080580010004,541,201.0,57.0,65,2023,2023,23080
23080580010005,484,65.0,21.0,38,2023,2023,23080
23080580010006,499,202.0,84.0,98,2023,2023,23080
23080580010007,592,371.0,100.0,114,2023,2023,23080
23080580010008,610,62.0,27.0,36,2023,2023,23080
23080580010009,594,220.0,100.0,113,2023,2023,23080
23080580010010,452,136.0,56.0,66,2023,2023,23080
23080580010011,485,122.0,34.0,51,2023,2023,23080
23080580010012,638,63.0,40.0,54,2023,2023,23080
23080580010013,413,260.0,34.0,44,2023,2023,23080
23080580010014,469,194.0,14.0,32,2023,2023,23080
23080580010015,405,121.0,26.0,39,2023,2023,23080
23080580010016,436,33.0,5.0,18,2023,2023,23080
23080580010017,601,116.0,12.0,29,2023,2023,23080
23080580010018,634,45.0,16.0,36,2023,2023,23080
23080580010019,625,110.0,44.0,58,2023,2023,23080
23080580010020,585,250.0,36.0,56,2023,2023,23080
23080580010021,438,133.0,79.0,93,2023,2023,23080
23080580010022,469,23.0,17.0,30,2023,2023,23080
23080580010023,480,430.0,149.0,170,2023,2023,23080
23080580010024,647,31.0,16.0,29,2023,2023,23080
23080580010025,749,349.0,60.0,71,2023,2023,23080
23080580010026,517,43.0,18.0,35,2023,2023,23080
23080580010027,439,300.0,158.0,169,2023,2023,23080
23080580010028,464,36.0,0.0,8,2023,2023,23080
23080580010029,614,26.0,18.0,24,2023,2023,23080
23080580010030,574,227.0,19.0,32,2023,2023,23080
23080580010031,446,32.0,24.0,30,2023,2023,23080
23080580010101,331,6.0,0.0,9,2023,2023,23080
23080580010201,648,8.0,0.0,16,2023,2023,23080
23080580010301,492,0.0,0.0,11,2023,2023,23080
23080580010302,483,15.0,5.0,16,2023,2023,23080
23080580010303,557,0.0,0.0,8,2023,2023,23080
23080580010304,585,24.0,10.0,21,2023,2023,23080
23080580011901,333,82.0,0.0,14,2023,2023,23080
23080580012101,471,33.0,10.0,22,2023,2023,23080
23080580012301,393,5.0,0.0,9,2023,2023,23080
23080580013701,475,12.0,5.0,16,2023,2023,23080
23080590010001,504,2417.0,585.0,602,2023,2023,23080
23080590010002,387,124.0,40.0,51,2023,2023,23080
23080590010003,427,94.0,49.0,54,2023,2023,23080
23080590010004,436,9108.0,1444.0,1450,2023,2023,23080
23080590010005,395,23.0,0.0,13,2023,2023,23080
23080590010006,383,74.0,34.0,43,2023,2023,23080
23080590010007,375,197.0,115.0,127,2023,2023,23080
23080590010008,402,75.0,51.0,58,2023,2023,23080
23080590010009,376,82.0,25.0,36,2023,2023,23080
23080590010010,619,37.0,10.0,23,2023,2023,23080
23080590010011,373,226.0,74.0,89,2023,2023,23080
23080590010012,71,21.0,12.0,14,2023,2023,23080
23080590010101,358,16.0,0.0,11,2023,2023,23080
23080590010102,437,0.0,0.0,4,2023,2023,23080
23080590010103,491,0.0,0.0,2,2023,2023,23080
23080590010201,405,0.0,0.0,11,2023,2023,23080
23080590010202,421,5.0,0.0,8,2023,2023,23080
23080590010301,502,17.0,6.0,16,2023,2023,23080
23080590010302,588,12.0,0.0,10,2023,2023,23080
23080590010303,469,16.0,5.0,11,2023,2023,23080
23080590010401,394,10.0,8.0,14,2023,2023,23080
23080590020001,453,166.0,77.0,92,2023,2023,23080
23080590020002,551,156.0,59.0,67,2023,2023,23080
23080590020003,426,347.0,217.0,228,2023,2023,23080
23080590020004,426,95.0,36.0,46,2023,2023,23080
23080590020005,549,237.0,56.0,71,2023,2023,23080
23080590020006,412,174.0,76.0,86,2023,2023,23080
23080590020007,583,61.0,37.0,41,2023,2023,23080
23080590020008,501,241.0,64.0,77,2023,2023,23080
23080590020009,414,131.0,67.0,78,2023,2023,23080
23080600010001,631,46.0,34.0,47,2023,2023,23080
23080600010002,561,46.0,28.0,41,2023,2023,23080
23080600010003,616,156.0,8.0,20,2023,2023,23080
23080600010004,566,49.0,20.0,34,2023,2023,23080
23080600010005,616,7.0,7.0,14,2023,2023,23080
23080600010006,500,0.0,0.0,9,2023,2023,23080
23080600010007,486,35.0,11.0,23,2023,2023,23080
23080600010008,499,8.0,0.0,18,2023,2023,23080
23080600010009,421,27.0,12.0,20,2023,2023,23080
23080600010010,543,212.0,22.0,36,2023,2023,23080
23080600010011,603,15.0,15.0,23,2023,2023,23080
23080600010012,594,157.0,22.0,41,2023,2023,23080
23080600010013,405,154.0,74.0,83,2023,2023,23080
23080600010014,428,143.0,15.0,30,2023,2023,23080
23080600010015,457,0.0,0.0,9,2023,2023,23080
23080600010016,433,20.0,6.0,17,2023,2023,23080
23080600010017,462,123.0,28.0,35,2023,2023,23080
23080600010018,611,37.0,27.0,33,2023,2023,23080
23080600010019,486,30.0,5.0,17,2023,2023,23080
23080600010401,658,5.0,0.0,19,2023,2023,23080
23080600010501,319,5.0,0.0,10,2023,2023,23080
23080600010701,389,13.0,0.0,8,2023,2023,23080
23080600010702,325,0.0,0.0,5,2023,2023,23080
23080600010801,320,5.0,5.0,9,2023,2023,23080
